リスクという概念に共通する構成要素の一つは何ですか？,不確実性
社会がリスクの存在を許容することで、人々の生活水準や利便性が向上するのはなぜですか？,リスクに挑む経済主体が現れ、その果実が社会に還元されるためです。
保険の一義的な機能は何ですか？,特定の事象が発生した際に、被保険者に生じた経済的損失をあらかじめ約定した条件に従って補てんすること
保険は、経済的損失の不確実性を軽減することで、個人や企業の態度を「リスクの回避」から「_____」に変えることができます。,リスクの選択
保険制度は、同質のリスクに直面する経済主体が少額の資金を負担し合うことにより、一部の加入者の経済的損失に対して資金を融通する形式の_____制度です。,金融
保険が対象とするのは、損失額を客観的に金銭で見積もれる「_____リスク」です。,経済的リスク
経済的損失の可能性のみがあり、利得の可能性がないリスクを何と呼びますか？,純粋リスク
不確実性の中に損失だけでなく利得の可能性も含まれるリスクを何と呼びますか？,投機的リスク
金利や為替レートの変動による市場リスクは、純粋リスクと投機的リスクのどちらに分類されますか？,投機的リスクです。
一度に多数の加入者に損失が発生する自然災害などのリスクを何と呼びますか？,集積リスク（集合リスク）です。
保険制度に対する加入者の期待を3つ挙げてください。,「保険が必要な分野」に、「信頼性が高い保険制度」が構築され、それが「効率的に運営」されることです。
保険制度の財政的な信頼性を確保するために、通常の予測を超えたリスクが発現した場合でも保険金を支払えるような資本を何と呼びますか？,ソルベンシー
保険料を構成する2つの主要な要素は何ですか？,純保険料と付加保険料です。
保険制度に資本を提供する者が、提供した資本のリスクと引き換えに期待するものは何ですか？,リスクに応じたリターンです。
営業保険料に期待値からの割増保険料や予定利潤が織り込まれているのはなぜですか？,資本提供者に対してリスクを取ったことへの報酬を還元する必要があるためです。
保険業法第１条に規定されている、同法の目的は何ですか？,保険契約者等の保護を図り、もって国民生活の安定及び国民経済の健全な発展に資することです。
平成22年4月に施行された、商法の保険契約に関する部分を独立させた法律は何ですか？,保険法です。
保険法において、いわゆる第三分野の保険契約は、何として明確化されましたか？,傷害疾病定額保険
保険法第２条における「保険者」の定義は何ですか？,保険契約の当事者のうち、保険給付を行う義務を負う者です。
保険法第２条における「保険契約者」の定義は何ですか？,保険契約の当事者のうち、保険料を支払う義務を負う者です。
保険法において「損害保険契約」はどのように定義されていますか？,保険者が一定の偶然の事故によって生ずることのある損害をてん補することを約する保険契約です。
保険法において「生命保険契約」はどのように定義されていますか？,保険者が人の生存又は死亡に関し一定の保険給付を行うことを約する保険契約です。
日本の私保険制度の公法的監督・規制を規律する法律は何ですか？,保険業法です。
保険業法で定義される「少額短期保険業」が引き受ける保険の保険期間の上限は、政令で定める期間内で何年以内ですか？,2年以内です。
