わが国における損保アクチュアリーの誕生は、いつ頃ですか？,昭和45年ごろです。
わが国の損保アクチュアリー誕生の直接の契機となった出来事は何ですか？,昭和51年に東京で第20回国際アクチュアリー会議が開催されることが決定したことです。
昭和43年に発売され、損保アクチュアリー誕生の背景となった積立保険の商品名は何ですか？,長期総合保険です。
損保アクチュアリーの主要な役割として、保険料率に関して行う2つの業務は何ですか？,保険料率の算出と検証です。
損保アクチュアリーの役割の一つとして、将来の支払いに備えて積み立てる「_____」の算出方式の開発と実際の積み立てが挙げられます。,責任準備金
損保アクチュアリーの役割の一つとして、巨大損害の発生などに備える「_____」に関する企画・立案が挙げられます。,再保険スキーム
損害保険料率算出機構が算出する料率は、どのようなものでなければならないと法律で規定されていますか？（3つの要件）,合理的かつ妥当なものであり、また、不当に差別的なものであってはならないとされています。
自動車保険の料率算定において、保険事故発生から保険金支払まで長期間を要したり、事故報告が未了のもの（IBNR）があるため、何が重要となりますか？,未払保険金のより適正な評価が必要となります。
保険会社の業務部門において、アクチュアリーは収入保険料・支払保険金・事業費の統計分析を通じて何を予測しますか？,将来の事業収支を予測します。
長期火災保険や長期医療保険など、長期商品の収支分析がリスク管理上重要な理由は何ですか？,死亡率、市場金利、経済状況等の変動要因により収益が影響を受けるためです。
事故発生率は低いが発生した場合の損害額が巨大となるリスクの引受けを何と呼びますか？,巨大リスクのアンダーライティングです。
保険会社の経理部門におけるアクチュアリー業務の中心となるものは何ですか？（主なものを3つ挙げてください）,責任準備金の分析・評価、支払備金（IBNRを含む）の評価、契約者配当金の算出です。
巨大損害の発生や事故率の異常な上昇に備えて積み立てられる準備金は何ですか？,異常危険準備金です。
資産と負債を総合的に管理し、リスクと収益をコントロールする管理手法を何と呼びますか？,ALM（Asset Liability Management）です。
保険会社の内部監査部門に保険数理に精通した人材が求められるのはなぜですか？,保険事業やリスク管理プロセスが高度化・複雑化しており、被監査部門と同等以上の専門知識が必須となっているためです。
損害保険会社に保険計理人制度が導入されたのはいつですか？,平成8年4月の保険業法改正時です。
損害保険会社に保険計理人制度が導入された背景として、どのような保険の発売により長期性負債が増大したことが挙げられますか？,積立保険や介護費用保険の発売です。
保険業法上、保険計理人の選任が義務付けられていない損害保険会社が引き受ける保険契約は何ですか？（2種類）,自動車損害賠償責任保険（自賠責）の契約と、地震保険契約です。
保険業法施行規則第77条によると、損害保険会社の保険計理人が関与すべき保険数理に関する事項は何ですか？（6項目）,①保険料の算出方法、②責任準備金の算出方法、③契約者配当の算出方法、④契約者価額の算出方法、⑤支払備金の算出、⑥その他職務遂行上必要な事項です。
損害保険会社が第三分野保険に関する認可申請を行う際、保険計理人は何を確認し、意見書を作成しなければなりませんか？,提出書類の記載事項が保険数理に基づき合理的かつ妥当なものであることを確認します。
保険業法第120条第2項に基づく保険計理人の資格要件の一つとして、法令で明確に定められている会員資格は何ですか？,公益社団法人日本アクチュアリー会の正会員であることです。
