料率算定の方法のうち、統計データがそれほど必要とされないが、算定者の判断と経験に相当程度依存する手法は何ですか？,判断法です。
判断法が持つ三つの欠点のうち、算定者によって判断が異なり一貫性の維持が難しい点を何と呼びますか？,首尾一貫性の欠如です。
判断法は、_____が少ないか、あるいはリスクのばらつきが非常に大きく、信頼に足るデータを収集できない保険種目に適用できる唯一の手法であるかもしれません。,データ量
損害率法と純保険料法は、同じ統計データに基づいて従来の保険料率を調整する場合、どのような結果が得られますか？,同じ結果が得られます。
損害率法が純保険料法に比べて管理・運営コストが若干少なくて済む可能性があるのは、何の記録が不要だからですか？,エクスポージャ数の記録です。
純保険料法が持つ最大の利点は、行政当局者や消費者に対して料率改定を正当化するのが比較的容易であることですが、それはなぜですか？,科学的かつ論理的な料率算定法であるためです。
損害率法は主にどのような保険種目に用いられますか？,比較的統計データの蓄積が豊富で、かつ損害率が毎年比較的安定して推移している保険種目に用いられます。
純保険料法は主にどのような保険種目に用いられますか？,一件あたりの支払額にばらつきがあり、毎年の損害率変動が激しいため、事故頻度と一件あたり支払額に分けて予測するのが望ましい保険種目に用いられます。
料率実務において、総体としての料率水準を決定するためにまず用いられることが多い手法は何ですか？,損害率法です。
総体としての料率水準が決定された後、料率区分ごとの料率水準や較差を決めるために用いられることが多い手法は何ですか？,純保険料法
新しい保険商品の料率を算定できる手法は、判断法と何ですか？,純保険料法です。
クラス料率の最大の利点は何ですか？,その適用が簡単なことです。
クラス料率の欠点は、料率区分が完全に同質危険の集団から構成されていることはあり得ないため、何に欠ける点ですか？,柔軟性にやや欠ける点です。
クラス料率において、保険会社が料率の高すぎる者だけを引き受け、低すぎる者を拒否する行為を何と呼びますか？,保険引受けの選択（逆選択）です。
クラス料率の問題点として、保険会社間の競争が激しい場合に何が行われる恐れがありますか？,必要以上の料率細分化です。
個別料率のうち、判断料率の主な利点は何ですか？,ロスに対するアンダーライターの評価に合わせて料率を適宜変えることができる点です。
料率算定スケジュールに基づく個別料率が持つ、判断料率にない利点は何ですか？,個別料率の決定にあたり統一性が確保されることです。
クラス料率に比較した個別料率の主な欠点は何ですか？,管理運用経費がかさむことです。
メリット料率が持つ二つの主な目的は何ですか？,ロスコントロールを促進することと、個々の危険度をより正確に反映して保険料を定めることです。
自動車保険のメリット・デメリット料率制度は、メリット料率の3種類のうちどれに分類されますか？,経験料率算定法です。
