リスクモデルを限定的に定義すると、「会社が被る損失や損失を評価するために必要となる情報について、その発生する規模と_____の関係を明示したもの」とされます。空欄を埋めなさい。,確率
リスクモデルの階層による分類で、主に特定のリスク区分や事業分野を対象に構築されるモデルを何と呼びますか？,個別リスクモデル
リスクモデルの階層による分類で、複数のリスク区分や事業分野にわたり、相関関係を考慮しながら統合して構築されるモデルを何と呼びますか？,統合リスクモデル
リスクモデルの定量化手法として、過去の実績データ等を使用して確率分布とそのパラメータを推定する手法を何といいますか？,統計的手法
リスクモデルの定量化手法として、工学的な理論に基づきモデル化する手法で、主に自然災害保険金の評価に用いられるものを何といいますか？,工学的手法
工学的リスクモデルを用いるメリットの一つは、事故頻度が極めて低い事象に対して、不足する統計データを_____で補完できることです。空欄を埋めなさい。,工学的理論（地震工学、風工学等）
リスクモデルの意義として、複数のリスクを合算評価する際に、リスクの_____を反映できることが挙げられます。,分散効果
既経過責任部分の損害保険リスクのモデル化で対象となるリスクは何ですか？,支払備金変動リスク
"マックモデルにおいて、次年度の累計発生保険金$D_{i, k+1}$の分散は、前年度の累計発生保険金$D_{i, k}$に比例すると仮定されます。この関係式を示しなさい。","$Var(D_{i,k+1}|D_{i,1}, ..., D_{i,k}) = D_{i,k} \cdot \sigma^2_k$"
マックモデルは、チェインラダー法に分散と独立性の条件を追加したものであり、_____を特定せずに計算が行える点に特徴があります。,確率分布形
過分散ポアソンモデルでは、単年保険金$C_{ij}$の期待値と分散にはどのような関係があると仮定しますか？（$\phi$を分散パラメータとする）,$E[C_{ij}] = m_{ij}$ であり、$Var[C_{ij}] = \phi \cdot m_{ij}$ の関係があると仮定します。
過分散ポアソンモデルでパラメータを推定する際、対数リンク関数を用いて線形結合の形にするモデルを何と呼びますか？,一般化線形モデル（GLM）
未経過責任のクレームモデリングにおいて、大口クレームに至らない、発生頻度がある程度あるクレームを何と呼びますか？,通常クレーム（Attritional Claim）
通常クレームと大口クレームを分けてモデル化する主な理由は何ですか？,まとめてモデル化すると、分布のテイル部分の適合精度が悪くなる懸念があるため。
まれにしか発生しない現象に着目した理論で、巨大自然災害リスクやテイルリスクの評価に活用される理論は何ですか？,極値理論（Extreme Value Theory : EVT）
極値理論のモデルの一つで、独立同分布の標本の最大値が従う分布の特性を扱うモデルを何といいますか？,ブロック最大値モデル
ブロック最大値モデルにおいて、多くの連続分布からの標本の最大値を正規化した値が従う分布を何と呼びますか？,一般化極値分布（Generalized Extreme Value Distribution : GEV）
