損益計算書を分析する主な目的は何ですか？,経営の成果、会社の成長性・収益性を明らかにし、自社や他社、業界の動向や問題点を把握することです。
損益分析を行う際、当年度の損益計算書のみでなく、他にどのような比較や分析を併用することが必要ですか？,前年度との比較増減、過去数年の推移、保険種目別分析、他社との比較などを併用し、総合的な観点で分析・検討することが必要です。
各保険会社の諸数値を最も早く（5月頃）確認できる公表資料は何ですか？,証券取引所の要請に基づく「決算短信」です。
上場会社等が公表する「決算短信」よりも詳細な内容が開示される資料は何ですか？,「有価証券報告書」です（6月公表）。
保険業法第111条に基づき、全保険会社に作成と縦覧が義務づけられている説明書類はいつまでに公表されますか？,7月末までに公表されます。
公表された正味ベース損益計算が保険引受の損益分析に十分でないとされる理由の一つに、_____保険・地震保険の諸勘定が含まれていることが挙げられます。,自動車損害賠償責任
分析用保険引受損益計算－①では、保険引受に係る損益項目を主に3つの区分に分離しますが、その3つとは何ですか？,任意保険に関する損益状況、自動車損害賠償責任保険・地震保険に関する損益状況、積立保険料に関する損益状況の3つです。
自動車損害賠償責任保険の保険引受損益は、基本的にゼロとなるという原則を何と呼びますか？,ノーロス・ノープロフィットの原則です。
分析用保険引受損益計算－①の「事業費」は、どの項目から構成されていますか？,諸手数料及び集金費と、保険引受に係る営業費及び一般管理費から構成されます。
分析用保険引受損益計算－①がリトン・ベーシスであるため、増収率の変動が大きい場合に損害率が実態を表さないという問題点を解決するために作成されるものは何ですか？,分析用保険引受損益計算－②です。
分析用保険引受損益計算－②において、「既経過保険料」を計算する式は何ですか？,既経過保険料 = 正味収入保険料 － 未経過保険料積増額
分析用保険引受損益計算－②において、「発生損害額」を計算する式は何ですか？,発生損害額 = 正味支払保険金 ＋ 損害調査費 ＋ 支払備金積増額
用語：コンバインド・レシオ,アーンド・ベーシス・ロス・レシオ（発生損害額／既経過保険料）と事業費率（事業費／正味収入保険料）を合計した経営指標です。
会社の成長性を示す経営指標は何ですか？,正味収入保険料増収率です。
正味収入保険料増収率は、元受増加率、受再増加率、出再増加率の何によって構成されますか？,前年度における保険料ウェイトによる加重平均値です。
正味損害率の計算式（公表ベース）は何ですか？,（正味支払保険金＋損害調査費）／ 正味収入保険料 × 100%
正味損害率は、元受損害率、受再損害率、出再損害率の何で構成されますか？,当年度保険料ウェイトによる加重平均値です。
会社の経営効率を示す指標で、保険引受に係る費用のみを対象とするものは何ですか？,事業費率です。
会社の資産運用力を示す指標は何ですか？,運用資産利回りです。
運用資産利回りの計算式における分母は何ですか？,運用資産平均残高です。
資産運用の効率を評価する際、利息配当金収入だけでなく、売却損益、償還損益、為替損益、評価損益などを含めて評価する利回りを何と呼びますか？,総合利回りです。
用語：一株あたり当期利益（EPS）,株式一株に対しどれだけ当期利益を確保したかという指標で、当期利益を期中平均株数で割って算出します。
用語：株主資本利益率（ROE）,株主資本に対しどれだけの当期利益を計上したかという指標で、株主の立場からみた投資効率尺度になります。
株主資本利益率（ROE）の計算式は何ですか？,当期利益 ／ 株主資本 × 100%
総資産に対する株主資本の割合を示す指標は何ですか？,株主（自己）資本比率です。
当期利益のうち、どれだけ株主配当を行ったかを示す指標は何ですか？,配当性向です。
当期利益のうち、どれだけ社内留保を行ったかを示す指標は何ですか？,内部留保率です。
通常の予測を超える危険が発生した場合でも、損害保険会社が十分な支払能力を保持しているかを示す指標は何ですか？,ソルベンシー・マージン比率です。
ソルベンシー・マージン比率の計算式における分子は何ですか？,ソルベンシー・マージン総額です。
ソルベンシー・マージン比率の計算式における分母は何ですか？,リスクの合計額の1/2（$リスクの合計額 \div 2$）です。
損害保険経営にとって最も基本的かつ重要な経営指標は何ですか？,損害率（loss ratio）です。
保険種目トータルの損害率は、各保険種目別の損害率を何で加重平均したものですか？,元受正味保険料ウェイトです。
保険料ウェイトが高い保険種目の損害率が高い場合、トータルの損害率はどうなりますか？,高くなります。
予定純保険料率の評価を可能にする、保険料率と密接な関係を持つ項目は何ですか？,純保険料損益です。
純保険料収支における「既経過純保険料」の計算式は何ですか？,収入純保険料 － 純保険料部分未経過保険料積増額
純保険料収支における「純保険料損益」の計算式は何ですか？,既経過純保険料 － 支払保険金 － 支払備金積増額
用語：ペイド・ツー・リトン・ベーシス・ロス・レシオ,ある期間の正味収入保険料に対する、同期間の正味支払保険金の割合で計算される損害率です。
ペイド・ツー・リトン・ベーシス・ロス・レシオの欠点は何ですか？,増収や減収の度合い、または長期契約の有無など、ロスの実態とは関係のない要因によって変動してしまうことです。
ロスの実態をより反映するように考えられた損害率の指標を何と呼びますか？,インカード・ツー・アーンド・ベーシス・ロス・レシオ（アーンド・ベーシス・ロス・レシオ）です。
インカード・ツー・アーンド・ベーシス・ロス・レシオの計算式は何ですか？,発生損害額 ／ 既経過保険料
「既経過保険料」の計算式を、期末・前期末の未経過保険料を用いて示してください。,正味収入保険料 ＋ 前期末未経過保険料 － 当期末未経過保険料
「発生損害額」の計算式を、期末・前期末の支払備金を用いて示してください。,正味支払保険金 ＋ 当期末支払備金 － 前期末支払備金
地震保険や自賠責保険には、_____の概念がないため、アーンド・ベーシス・ロス・レシオの計算時には注意が必要です。,未経過保険料
理論的には正確な損害率が計算できるものの、既発生未報告事故（IBNR）の存在により単年度では正確な把握が困難な損害率は何ですか？,事故年度別損害率です。
事故年度別損害率の計算式は何ですか？,当該期における発生事故による（支払保険金＋支払備金）／ 既経過保険料
最終的な損害率が確定するまでに長時間を要するため、経営指標としては実用的ではないが、ロス動向の変化を分析するのに有用な損害率は何ですか？,契約年度別損害率です。
契約年度別損害率の計算式は何ですか？,当該年度契約にかかる発生損害額総額 ／ 当該年度契約の正味収入保険料総額
契約年度と保険金発生年度による分析手法を、特に何と呼びますか？,ラダー分析的見方（ロス・ディベロップメント）です。
事業費率の分析を行う際、事業費から除外される費用にはどのようなものがありますか？,投資部門等に係る人件費・物件費・税金が除かれます。
事業費率は、元受事業費率、受再保険手数料率、出再保険手数料率の何で構成されますか？,各正味保険料ウェイトによる加重平均値です。
経営効率の分析を行うにあたり、単純な事業費率の高低比較だけでなく、特にどの事業費率の分析が重要とされていますか？,元受事業費率の分析です。
元受事業費は、主に何と何の合計額ですか？,社費と元受募集費の合計額です。
元受事業費の元受正味保険料に対する割合を何と呼びますか？,元受事業費率です。
元受募集費率は、各保険種目の募集費率を何で加重平均したものですか？,元受正味保険料ウェイトです。
社費を構成している重要な項目は何ですか？,人件費と物件費です。
社費率が低い会社は効率が良いと判断されがちですが、なぜそれが経営効率の絶対的基準とはいえないのですか？,効率の良否は収入社費と支出社費の対比において判断されるべきだからです。
会社の経営効率の良否をより適切に判断するために、元受事業費を何と対比させて検討すべきですか？,収入付加保険料と対比させて付加保険料収支を検討すべきです。
営業保険料に対する付加保険料の割合を何と呼びますか？,付加率です。
保険会社ごとに平均付加率が異なるのはなぜですか？,付加率は保険種目別に異なるため、保険種目別の保険料ウェイトが会社ごとに異なるからです。
損害調査費は、公表ベースの損害率では分子に含まれますが、公表ベースの事業費率ではどう扱われますか？,分子に算入されません。
